uri1	AGROVOC LABELS	match	GEMET LABELS	uri2	
http://aims.fao.org/aos/agrovoc/c_62	Accounting	http://www.w3.org/2004/02/skos/mapping#exactMatch	accounting	http://www.eionet.europa.eu/gemet/concept/10002	
http://aims.fao.org/aos/agrovoc/c_90	Acidification	http://www.w3.org/2004/02/skos/mapping#exactMatch	acidification	http://www.eionet.europa.eu/gemet/concept/44	
http://aims.fao.org/aos/agrovoc/c_130	administration	http://www.w3.org/2004/02/skos/mapping#exactMatch	administration	http://www.eionet.europa.eu/gemet/concept/95	
http://aims.fao.org/aos/agrovoc/c_137	Adsorption	http://www.w3.org/2004/02/skos/mapping#exactMatch	adsorption	http://www.eionet.europa.eu/gemet/concept/120	
http://aims.fao.org/aos/agrovoc/c_141	side effects	http://www.w3.org/2004/02/skos/mapping#exactMatch	side effect	http://www.eionet.europa.eu/gemet/concept/7688	
http://aims.fao.org/aos/agrovoc/c_154	Aeration	http://www.w3.org/2004/02/skos/mapping#exactMatch	aeration	http://www.eionet.europa.eu/gemet/concept/132	
http://aims.fao.org/aos/agrovoc/c_162	Afforestation	http://www.w3.org/2004/02/skos/mapping#exactMatch	afforestation	http://www.eionet.europa.eu/gemet/concept/167	
http://aims.fao.org/aos/agrovoc/c_165	Africa	http://www.w3.org/2004/02/skos/mapping#exactMatch	Africa	http://www.eionet.europa.eu/gemet/concept/170	
http://aims.fao.org/aos/agrovoc/c_186	Age	http://www.w3.org/2004/02/skos/mapping#exactMatch	age	http://www.eionet.europa.eu/gemet/concept/173	
http://aims.fao.org/aos/agrovoc/c_201	Agricultural policies	http://www.w3.org/2004/02/skos/mapping#exactMatch	agricultural policy	http://www.eionet.europa.eu/gemet/concept/215	
http://aims.fao.org/aos/agrovoc/c_202	agricultural structure	http://www.w3.org/2004/02/skos/mapping#exactMatch	agricultural structure	http://www.eionet.europa.eu/gemet/concept/13136	
http://aims.fao.org/aos/agrovoc/c_203	agriculture	http://www.w3.org/2004/02/skos/mapping#exactMatch	agriculture	http://www.eionet.europa.eu/gemet/concept/232	
http://aims.fao.org/aos/agrovoc/c_207	agroforestry	http://www.w3.org/2004/02/skos/mapping#exactMatch	agroforestry	http://www.eionet.europa.eu/gemet/concept/239	
http://aims.fao.org/aos/agrovoc/c_211	Agronomy	http://www.w3.org/2004/02/skos/mapping#exactMatch	agronomy	http://www.eionet.europa.eu/gemet/concept/11152	
http://aims.fao.org/aos/agrovoc/c_224	Air	http://www.w3.org/2004/02/skos/mapping#exactMatch	air	http://www.eionet.europa.eu/gemet/concept/245	
http://aims.fao.org/aos/agrovoc/c_225	Air conditioning	http://www.w3.org/2004/02/skos/mapping#exactMatch	air conditioning	http://www.eionet.europa.eu/gemet/concept/250
http://aims.fao.org/aos/agrovoc/c_228	air pollution	http://www.w3.org/2004/02/skos/mapping#exactMatch	air pollution	http://www.eionet.europa.eu/gemet/concept/265
http://aims.fao.org/aos/agrovoc/c_230	Air temperature	http://www.w3.org/2004/02/skos/mapping#exactMatch	air temperature	http://www.eionet.europa.eu/gemet/concept/281
http://aims.fao.org/aos/agrovoc/c_233	Aircraft	http://www.w3.org/2004/02/skos/mapping#exactMatch	aircraft	http://www.eionet.europa.eu/gemet/concept/253
http://aims.fao.org/aos/agrovoc/c_316	Altitude	http://www.w3.org/2004/02/skos/mapping#exactMatch	altitude	http://www.eionet.europa.eu/gemet/concept/10140
http://aims.fao.org/aos/agrovoc/c_8744	Aluminium	http://www.w3.org/2004/02/skos/mapping#exactMatch	aluminium	http://www.eionet.europa.eu/gemet/concept/353
http://aims.fao.org/aos/agrovoc/c_29677	Americas	http://www.w3.org/2004/02/skos/mapping#exactMatch	Americas	http://www.eionet.europa.eu/gemet/concept/367
http://aims.fao.org/aos/agrovoc/c_342	Amino acids	http://www.w3.org/2004/02/skos/mapping#exactMatch	amino acid	http://www.eionet.europa.eu/gemet/concept/373
http://aims.fao.org/aos/agrovoc/c_349	Ammonia	http://www.w3.org/2004/02/skos/mapping#exactMatch	ammonia	http://www.eionet.europa.eu/gemet/concept/375
http://aims.fao.org/aos/agrovoc/c_359	amphibians	http://www.w3.org/2004/02/skos/mapping#exactMatch	amphibian	http://www.eionet.europa.eu/gemet/concept/387
http://aims.fao.org/aos/agrovoc/c_413	angiosperms	http://www.w3.org/2004/02/skos/mapping#exactMatch	angiosperm	http://www.eionet.europa.eu/gemet/concept/411
http://aims.fao.org/aos/agrovoc/c_415	Angling	http://www.w3.org/2004/02/skos/mapping#exactMatch	angling	http://www.eionet.europa.eu/gemet/concept/412
http://aims.fao.org/aos/agrovoc/c_426	Animal diseases	http://www.w3.org/2004/02/skos/mapping#exactMatch	animal disease	http://www.eionet.europa.eu/gemet/concept/417
http://aims.fao.org/aos/agrovoc/c_427	Animal ecology	http://www.w3.org/2004/02/skos/mapping#exactMatch	animal ecology	http://www.eionet.europa.eu/gemet/concept/420
http://aims.fao.org/aos/agrovoc/c_431	Animal health	http://www.w3.org/2004/02/skos/mapping#exactMatch	animal health	http://www.eionet.europa.eu/gemet/concept/13321
http://aims.fao.org/aos/agrovoc/c_432	Animal housing	http://www.w3.org/2004/02/skos/mapping#exactMatch	animal housing	http://www.eionet.europa.eu/gemet/concept/428
http://aims.fao.org/aos/agrovoc/c_435	Animal population	http://www.w3.org/2004/02/skos/mapping#exactMatch	animal population	http://www.eionet.europa.eu/gemet/concept/10539
http://aims.fao.org/aos/agrovoc/c_437	Animal production	http://www.w3.org/2004/02/skos/mapping#exactMatch	animal production	http://www.eionet.europa.eu/gemet/concept/441
http://aims.fao.org/aos/agrovoc/c_438	Animal products	http://www.w3.org/2004/02/skos/mapping#exactMatch	animal product	http://www.eionet.europa.eu/gemet/concept/442
http://aims.fao.org/aos/agrovoc/c_440	Animal resources	http://www.w3.org/2004/02/skos/mapping#exactMatch	animal resource	http://www.eionet.europa.eu/gemet/concept/445
http://aims.fao.org/aos/agrovoc/c_444	animals	http://www.w3.org/2004/02/skos/mapping#exactMatch	animal	http://www.eionet.europa.eu/gemet/concept/450
