code	 English terms	English definitions	Arabic translated terms 	Arabic translated definitions 				
7	abandoned industrial site	"Site that cannot be used for any purpose, being contaminated by pollutants, not necessarily radioactive."	موقع صناعي مهجور	"موقع لا يمكن استخدامه لأي غرض من الأغراض نظرا لتلوثه بملوثات، ليست بالضرورة ملوثات مشعة."				
8	abandoned vehicle	"A vehicle that has been discarded in the environment, urban or otherwise, often found wrecked, destroyed, damaged or with a major component part stolen or missing."	مَركَبة مهجورة	"مركبة ملقاة فى البيئة ، الحضرية أو غيرها، وغالباً ما توجد محطمة أو مدمرة أو تالفه أو بأحد مكوناتها الأساسية مسروقاً أو مفقوداً."				
11	abiotic factor	"Physical, chemical and other non-living environmental factors. They are essential for living plants and animals of an ecosystem, providing the essential elements and nutrients that are necessary for growth. The abiotic elements also include the climatic and pedologic components of the ecosystem."	عامل لاحيوي	"أي من العوامل االفيزيائية و الكيميائية أو غيرها من العوامل البيئيةغير الحية. وتعد ضرورية للنباتات والحيوانات  الحية  في نظام إيكولوجي، حيث توفر لها العناصر الغذائية اللازمة للنمو. وتتضمن العناصر اللاحيوية أيضا المكونات المناخية وتلك المتعلقة بالتربة في النظام الإيكولوجي."				
13	absorption (exposure)	The taking in of fluids or other substances by cells or tissues.	امتصاص( تعرُّض)	أخذ السوائل وغيرها من المواد عن طريق الخلايا أو الأنسجة. 				
20	acceptable risk level	Level of risk judged to be outweighed by corresponding benefits or one that is of such a degree that it is considered to pose minimal potential for adverse effects.	مستوى مخاطرة مقبول	"مستوى المخاطرة عندما ترجحه المنافع المرافقة له، أو المستوى الذي  يفرز عند حد معين أدنى قدر ممكن من الآثار الضارة. "				
21	agreement (administrative)	"A coming together of minds; a coming together in opinion or determination; the coming together in accord of two minds on a given proposition. In law, a concord of understanding and intention between two or more parties with respect to the effect upon their relative rights and duties, of certain past or future facts or performances. The consent of two or more persons concerning respecting the transmission of some property, right, or benefits, with the view of contracting an obligation, a mutual obligation. The union of two or more minds in a thing done or to be done; a mutual assent to do a thing."	اتفاق	التقاء العقول؛ التقاء الرأي والعزم؛ انعقاد الرأي على فكرة معينة؛ في القانون معناه التوافق في الفهم والنوايا بين طرفين أو أكثر فيما يتعلق بتأثير حقائق معينة أو أداء معين في الماضي أو المستقبل على  الحقوق والواجبات النسبية لكل طرف. رضا شخصين أو أكثر فيما يتعلق باحترام نقل أملاك أو حقوق أو منافع معينة بغرض التعاقد على التزام مشترك. اتحاد رأيين أو أكثر على أمر حدث أو سوف يحدث؛ قبول مشترك للقيام بأمر ما.    				
22	access road	"Any street or narrow stretch of paved surface that leads to a specific destination, such as a main highway."	طريق وصول	"أي شارع أو امتداد ضيق لمسطح ممهد يفضي إلى وجهة معينة، كالطريق الرئيسي مثلا."				
23	access to culture	"The ability, right and permission to approach and use, or the general availability of resources that transmit the beliefs, customs, artistic activity and knowledge of a people."	نفاذ إلى الثقافة	"القدرة على استخدام الموارد الحاملة للمعتقدات والعادات والأنشطة الثقافية والمعارف الخاصة بشعب من الشعوب، والحق في استخدامها والسماح بالوصول إليها، أو توافرها بصفة عامة."				
24	access to the sea		نفاذ إلى البحر					
25	accident	"An unexpected occurrence, failure or loss with the potential for harming human life, property or the environment."	حادثة	"وقوع أمر أو خلل أو فقد غير متوقع، مما قد يترتب عليه الإضرار بحياة البشر أو الممتلكات أو البيئة. "				
28	accidental release of organisms	"Genetically engineered organisms that are released in the environment by mistake; once released they may exhibit some previously unknown pathogenicity, might take over from some naturally occurring bacteria (possibly having other positive functions which thus are lost) or pass on some unwanted trait to such indigenous bacteria. There is also concern that an uncontrolled genetic mutation could produce a form with hazardous consequences for the environment."	انطلاق غير مقصود لكائنات عضوية	إطلاق كائنات ممهندسة جينيا إبطريق الخطاء إلى البيئة وفور إطلاقها قد تظهر لديها القدرة على إحداث المرض مما لم يكن معروفا عنها من قبل؛ وقد تكتسب شيئا من خواص بعض أنواع البكتيريا التي تظهر بصورة طبيعية (التي قد يكون لها وظائف أخرى إيجابية لا تلبث أن تفقدها لذلك ) أو تكتسب  بعض الخواص غير المرغوب فيها.لمثل هذه البكتيريا المحلية  مخاوف من  حدوث طفرة جينية غير خاضعة للسيطرة قد تنتج شكل من الكائنات له تبعات خطرة على البيئة.				
30	accident source	"The cause or origin of an unexpected occurrence, failure or loss with the potential for harming human life, property or the environment."	مصدر طارئ	"سبب أو أصل  حدوث أمر أو خلل أو فقد غير متوقع، مما قد يكون له أثر ضار على حياة البشر أو الممتلكات أو البيئة. "				
36	accumulation in body tissues		تراكم في أنسجة الجسم					
38	accumulator	"A rechargeable device for storing electrical energy in the form of chemical energy, consisting of one or more separate secondary cells."	مُجَمِّع - مُراكِم	معدة قابلة لإعادة الشحن لتخزين الطاقة الكهربية في صورة طاقة كيميائية تتألف من خلية ثانوية منفصلة أو أكثر من خلية. 				
42	acid deposition	"A type of pollution which washes out of the atmosphere as dilute sulphuric and nitric acids. It tends to be a regional rather than a global phenomenon, linked to particular industrial activities and meteorological conditions. It includes rain, more than normally acidic snow, mist, sleet, fog, gas and dry particles. It upsets the balance of nature, disrupting ecosystems, and destroys forests and woodlands, plants and crops; kills aquatic life by altering the chemical balance of lakes and rivers and corrodes building materials and fabrics. The pollutants are caused principally by discharges from power station chimneys of sulphur dioxide and nitrogen oxides released by burning fossil fuels, coal and oil."	ترسيب حمضي	"نوع من التلوث يتبدد فى الغلاف الجوي على هيئة أحماض كبريتية أو نيتروجينية مخففة. والغالب أنه يحدث  كظاهرة إقليمية لا عالمية لارتباطه بأنشطة صناعية معينة والظروف الميتيورولوجية. ويشمل جزيئات المطر والثلج المتساقط ذي الحموضة الزائدة عن المعتاد والشبورة والبرد والضباب والغاز والجزيئات الجافة. ويؤدي إلى إختلال التوازن في الطبيعة واختلال النظم الإيكولوجية وتدمير الغابات والأراضي الشجرية والنباتات والمحاصيل؛ كما يؤدي إلى قتل الأحياء المائية عن طريق تغيير التوازن الكيميائي للبحيرات والأنهار ، وكذلك إلى تآكل مواد البناء والأنسجة. وتنجم هذه الملوثات أساسا عن إنبعاثات ثاني أكسيد الكبريت وأكاسيد النيتروجين التي تطلقها  مداخن محطات القوى الكهربية من جراء حرق الوقود الأحفوري كاالفحم والنفط. "				
44	acidification	Addition of an acid to a solution until the pH falls below 7.	تحميض	إضافة أي حمض إلى محلول حتى تصل درجة الحموضة (الرقم الهيدروجيني) إلى ما دون 7.				
47	acidity	The state of being acid that is of being capable of transferring a hydrogen ion in solution.	حمضية	حالة الحموضة أي القدرة على نقل أيون الهيدروجين في المحلول.				
48	acidity degree	"The amount of acid present in a solution, often expressed in terms of pH."	درجة الحمضية	كمية الحمض الموجودة في محلول ما ويعبر عنها دائما بالرقم الهيدروجيني pH.				
51	acid rain	"Rain having a pH less than 5.6. The acidity results from chemical reactions occurring when water, sulphur dioxide, and nitrogen oxides, generally released by industrial processes, are chemically transformed into sulphuric and nitric acids."	مطر حمضي	مطر ذو درجة حموضة أقل من 5.6. وتنتج الحموضة عن تفاعلات كيميائية تحدث عندما يتحول الماء وثاني أكسيد الكبريت وأكاسيد النيتروجين - التي تطلقها العمليات الصناعية - كيميائيا إلى أحماض كبريتية ونيتروجينية.				
52	acid	A compound capable of transferring a hydrogen ion in solution.	حمض	مركب قادر على نقل أيون الهيدروجين في محلول.				
54	acoustic filter	A device employed to reject sound in a particular range of frequencies while passing sound in another range of frequencies.	مُرشِّح صوتي	جهاز يستخدم لحجب الصوت عندما يكون في نطاق معين من الذبذبات بينما يسمح بمرور الصوت فى نطاق آخر من الذبذبات.				
55	acoustic insulation	The process of preventing the transmission of sound by surrounding with a nonconducting material.	عزل صوتي	عملية منع انتقال الصوت عن طريق التحويط بمادة غير موصلة للصوت.				
57	acoustic level	"Physical quantity of sound measured, usually expressed in decibels."	مستوى صوتي	"الكمية الفيزيقية للصوت المقاس ، ويعبر عنها عادة بوحدات الديسيبل."				
59	acoustic property	The characteristics found within a structure that determine the quality of sound in its relevance to hearing.	خاصية صوتية	الخواص الموجودة في إمبنى أو منشأ وتحدد جودة الصوت في علاقته بالسمع.				
60	acoustics	"The science of the production, transmission and effects of sound."	صوتيات	علم يدرس إنتاج الصوت ونقله وتأثيراته.				
