code	ns	english	lang2term	Armenian	 
2894	Super groups	"SOCIAL ASPECTS, ENVIRONMENTAL POLICY MEASURES"	"СОЦИАЛЬНЫЕ АСПЕКТЫ, МЕРЫ ЭКОЛОГИЧЕСКОЙ ПОЛИТИКИ"	"ՍՈՑԻԱԼԱԿԱՆ ԲՆԱԳԱՎԱՌՆԵՐ, ԲԱՆԱՊԱՀՊԱՆԱԿԱՆ ՔԱՂԱՔԱԿԱՆՈՒԹՅԱՆ ՄԻՋՈՑՆԵՐ  "	
4044	Super groups	"HUMAN ACTIVITIES AND PRODUCTS, EFFECTS ON THE ENVIRONMENT"	"ДЕЯТЕЛЬНОСТЬ ЧЕЛОВЕКА И ЕЕ РЕЗУЛЬТАТЫ, ВОЗДЕЙСТВИЕ НА ОКРУЖАЮЩУЮ СРЕДУ"	"ՄԱՐԴՈՒ ԳՈՐԾՈՒՆԵՈՒԹՅՈՒՆԸ ԵՎ ԴՐԱ ԱՐԴՅՈՒՆՔՆԵՐԸ, ՇՐՋԱԿԱ ՄԻՋԱՎԱՅՐԻ ՎՐԱ ԱԶԴԵՑՈՒԹՅՈՒՆ "	
5306	Super groups	ACCESSORY LISTS	ВСПОМОГАТЕЛЬНЫЕ ТЕРМИНЫ	ՕԺԱՆԴԱԿ ՏԵՐՄԻՆՆԵՐ	 
5499	Super groups	"NATURAL ENVIRONMENT, ANTHROPIC ENVIRONMENT"	"ПРИРОДНАЯ СРЕДА, СРЕДА ОБИТАНИЯ ЧЕЛОВЕКА"	"ԲՆԱԿԱՆ ՄԻՋԱՎԱՅՐ, ՄԱՐԴՈՒՆ ՇՐՋԱՊԱՏՈՂ ՄԻՋԱՎԱՅՐ"	 
10111	Groups	"ENVIRONMENT (natural environment, anthropic environment)"	"ОКРУЖАЮЩАЯ СРЕДА (природная среда, среда обитания человека)"	"ՇՐՋԱԿԱ ՄԻՋԱՎԱՅՐ (բնական միրավայր, մարդուն շրջապատող միջավայր)"	 
10112	Groups	"PRODUCTS, MATERIALS"	"ПРОДУКТЫ, МАТЕРИАЛЫ"	"ԱՐՏԱԴՐԱՆՔ, ՆՅՈՒԹԵՐ"	 
10114	Groups	"EFFECTS, IMPACTS"	"ВОЗДЕЙСТВИЕ, ВЛИЯНИЕ"	"ՀԵՏԵՎԱՆՔՆԵՐ, ԱԶԴԵՑՈՒԹՅՈՒՆՆԵՐ "	 
10117	Groups	GENERAL TERMS	ОБЩИЕ ТЕРМИНЫ	ԸՆԴՀԱՆՈՒՐ ՏԵՐՄԻՆՆԵՐ	
10118	Groups	RESOURCES (utilisation of resources)	РЕСУРСЫ (использование ресурсов)	ՌԵՍՈՒՐՍՆԵՐ (ռեսուրսների օգտագործում)	
1062	Groups	"ANTHROPOSPHERE (built environment, human settlements, land setup)"	"АНТРОПОСФЕРА (созданная среда, населенные пункты, региональное планирование)"	"ՄԱՐԴԱԾԻՆ ՄԻՋԱՎԱՅՐ/ ԱՆԹՐՊՈՍՖԵՐԱ (մարդու կողմից ստեղծված շրջակա միջավայր, բնակավայրեր, հողերի տարածքային պլանավորում)"	
13109	Groups	ENVIRONMENTAL POLICY	ПОЛИТИКА В ОБЛАСТИ ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ	 ԲՆԱՊԱՀՊԱՆԱԿԱՆ ՔԱՂԱՔԱԿԱՆՈՒԹՅՈՒՆ (ԷԿՈԼՈԳԻԱԿԱՆ ՔԱՂԱՔԱԿԱՆՈՒԹՅՈՒՆ)	 
1349	Groups	"CHEMISTRY, SUBSTANCES, PROCESSES"	"ХИМИЯ, ВЕЩЕСТВА, ПРОЦЕССЫ"	"ՔԻՄԻԱ, ՆՅՈՒԹԵՐ, ՊՐՈՑԵՍՆԵՐ"	 
14979	Groups	TIME (chronology)	ВРЕМЯ (хронология)	ԺԱՄԱՆԱԿ (ժամանակագրություն)	
14980	Groups	FUNCTIONAL TERMS	ФУНКЦИОНАЛЬНЫЕ ТЕРМИНЫ	ԳՈՐԾԱՌՆԱԿԱՆ  (ՖՈՒՆԿՑԻՈՆԱԼ) ՏԵՐՄԻՆՆԵՐ	 
1922	Groups	"INFORMATION, EDUCATION, CULTURE, ENVIRONMENTAL AWARENESS"	"ИНФОРМАЦИЯ, ОБРАЗОВАНИЕ, КУЛЬТУРА, ИНФОРМИРОВАННОСТЬ ОБ ОКРУЖАЮЩЕЙ СРЕДЕ"	"ՏԵՂԵԿԱՏՎՈՒԹՅՈՒՆ, ԿՐԹՈՒԹՅՈՒՆ, ՄՇԱԿՈՒՅԹ, ԲՆԱՊԱՀՊԱՆԱԿԱՆ ԻՐԱԶԵԿՎԱԾՈՒԹՅՈՒՆ"	
234	Groups	"AGRICULTURE, FORESTRY; ANIMAL HUSBANDRY; FISHERY"	"СЕЛЬСКОЕ ХОЗЯЙСТВО, ЛЕСНОЕ ХОЗЯЙСТВО, ЖИВОТНОВОДСТВО, РЫБНОЕ ХОЗЯЙСТВО"	"ԳՅՈՒՂԱՏՆՏԵՍՈՒԹՅՈՒՆ, ԱՆՏԱՌԱՅԻՆ ՏՆՏԵՍՈՒԹՅՈՒՆ, ԱՆԱՍՆԱԲՈՒԾՈՒԹՅՈՒՆ, ՁԿՆԱԲՈՒԾՈՒԹՅՈՒՆ"	
2504	Groups	"ECONOMICS, FINANCE"	"ЭКОНОМИКА, ФИНАНСЫ"	"ԷԿՈՆՈՄԻԿԱ, ՖԻՆԱՆՍՆԵՐ"	
2711	Groups	ENERGY	ЭНЕРГИЯ	ԷՆԵՐԳԻԱ	
3875	Groups	"HEALTH, NUTRITION"	"ЗДОРОВЬЕ, ПИТАНИЕ"	"ԱՌՈՂՋՈՒԹՅՈՒՆ, ՍՆՈՒՆԴ"	
4125	Groups	"HYDROSPHERE (freshwater, marine water, waters)"	"ГИДРОСФЕРА (пресная вода, морская вода, водные ресурсы)"	"ՋՐՈԼՈՐՏ/ ՀԻԴՐՈՍՖԵՐԱ ( քաղցրահամ ջուր, ծովի ջուր, ջրային ռեսուրսներ)"	
4281	Groups	"INDUSTRY, CRAFTS; TECHNOLOGY; EQUIPMENTS"	"ПРОМЫШЛЕННОСТЬ, РЕМЕСЛА, ТЕХНОЛОГИИ, ОБОРУДОВАНИЕ"	"ԱՐԴՅՈՒՆԱԲԵՐՈՒԹՅՈՒՆ, ԱՐՀԵՍՏԱԳՈՐԾՈՒԹՅՈՒՆ. ՏԵԽՆՈԼՈԳԻԱ, ՍԱՐՔԱՎՈՐՈՒՄՆԵՐ"	
4630	Groups	"LAND (landscape, geography)"	"ЗЕМЛЯ (ландшафт, география)"	"ՀՈՂ (լանդշաֆտ, աշխարհագրություն)"	
4750	Groups	"LEGISLATION, NORMS, CONVENTIONS"	"ЗАКОНОДАТЕЛЬСТВО, НОРМЫ, КОНВЕНЦИИ"	"ՕՐԵՆՍԴՐՈՒԹՅՈՒՆ, ՆՈՐՄԵՐ, ԿՈՆՎԵՆՑԻԱՆԵՐ"	
4856	Groups	"LITHOSPHERE (soil, geological processes)"	"ЛИТОСФЕРА (почва, геологические процессы)"	"ԼԻԹՈՍՖԵՐԱ (հող, երկրաբանական պրոցեսները)"	 
618	Groups	"ATMOSPHERE (air, climate)"	"АТМОСФЕРА (воздух, климат)"	"ՄԹՆՈԼՈՐՏ/ ԱՏՄՈՍՖԵՐԱ (օդ, կլիմա)"	
