code	english	definition	translation
7	abandoned industrial site	"Site that cannot be used for any purpose, being contaminated by pollutants, not necessarily radioactive."	tərk edilmiş sənaye meydançası
8	abandoned vehicle	"A vehicle that has been discarded in the environment, urban or otherwise, often found wrecked, destroyed, damaged or with a major component part stolen or missing."	tərk edilmiş avtomobil
11	abiotic factor	"Physical, chemical and other non-living environmental factors. They are essential for living plants and animals of an ecosystem, providing the essential elements and nutrients that are necessary for growth. The abiotic elements also include the climatic and pedologic components of the ecosystem."	abiotik amil
13	absorption (exposure)	The taking in of fluids or other substances by cells or tissues.	absorbsiya
20	acceptable risk level	Level of risk judged to be outweighed by corresponding benefits or one that is of such a degree that it is considered to pose minimal potential for adverse effects.	məqbul risk səviyyəsi
21	agreement (administrative)	"A coming together of minds; a coming together in opinion or determination; the coming together in accord of two minds on a given proposition. In law, a concord of understanding and intention between two or more parties with respect to the effect upon their relative rights and duties, of certain past or future facts or performances. The consent of two or more persons concerning respecting the transmission of some property, right, or benefits, with the view of contracting an obligation, a mutual obligation. The union of two or more minds in a thing done or to be done; a mutual assent to do a thing."	"saziş, müqavilə (inzibati)"
22	access road	"Any street or narrow stretch of paved surface that leads to a specific destination, such as a main highway."	giriş yolu 
23	access to culture	"The ability, right and permission to approach and use, or the general availability of resources that transmit the beliefs, customs, artistic activity and knowledge of a people."	mədəni abidələrə çıxış
24	access to the sea		dənizə çıxış
25	accident	"An unexpected occurrence, failure or loss with the potential for harming human life, property or the environment."	qəza
28	accidental release of organisms	"Genetically engineered organisms that are released in the environment by mistake; once released they may exhibit some previously unknown pathogenicity, might take over from some naturally occurring bacteria (possibly having other positive functions which thus are lost) or pass on some unwanted trait to such indigenous bacteria. There is also concern that an uncontrolled genetic mutation could produce a form with hazardous consequences for the environment."	qəza nəticəsində bioloji materialların ətraf mühitə atılması 
30	accident source	"The cause or origin of an unexpected occurrence, failure or loss with the potential for harming human life, property or the environment."	qəzanın mənbəyi
36	accumulation in body tissues		bədən toxumalarında toplanma
38	accumulator	"A rechargeable device for storing electrical energy in the form of chemical energy, consisting of one or more separate secondary cells."	akkumulyator
42	acid deposition	"A type of pollution which washes out of the atmosphere as dilute sulphuric and nitric acids. It tends to be a regional rather than a global phenomenon, linked to particular industrial activities and meteorological conditions. It includes rain, more than normally acidic snow, mist, sleet, fog, gas and dry particles. It upsets the balance of nature, disrupting ecosystems, and destroys forests and woodlands, plants and crops; kills aquatic life by altering the chemical balance of lakes and rivers and corrodes building materials and fabrics. The pollutants are caused principally by discharges from power station chimneys of sulphur dioxide and nitrogen oxides released by burning fossil fuels, coal and oil."	turş yağıntılar
44	acidification	Addition of an acid to a solution until the pH falls below 7.	turşulaşma
47	acidity	The state of being acid that is of being capable of transferring a hydrogen ion in solution.	turşuluq
48	acidity degree	"The amount of acid present in a solution, often expressed in terms of pH."	turşuluq səviyyəsi
51	acid rain	"Rain having a pH less than 5.6. The acidity results from chemical reactions occurring when water, sulphur dioxide, and nitrogen oxides, generally released by industrial processes, are chemically transformed into sulphuric and nitric acids."	turş yağış
